,progress_10_years_tr
17840,
17841,
17842,For ten years the assumption of responsibility and the representation of women will contribute to the evolution and emergence of the populations of her country
17843,
17844,
17845,Have to be in place
17846,Equal opportunities in political; social; economical and educational systems. As well as awareness on issue to do with public health and reproductive health in both urban and rural areas
17847,
17848,
17849,
17850,
17851,
17852,It will be big
17853,
17854,No idea 
17855,
17856,Free to think for itself because the company has stuck a label of submission on us... Woman of power who is not afraid to dare it is true that nowadays there are some but the road is still long ...
17857,
17858,Progress for women human rights is very important.and I hope to see it improving and progressing years to come.
17859,
17860,
17861,Nothing at all if we do not change mentalities or practices that are bad
17862,
17863,
17864,
17865,I think gender equality and equity will be highly practiced 
17866,
17867,"We live in a part of the world where women, compared to men, are always considered inferior on all levels (gender equality, physical, moral and even intellectual capacity, abilities to be a learder, etc.). In short, women are always classified, in most cases, as housewives and even when some work, they mostly do small businesses where they occupy very small positions in the structures. In Cameroon, for example, just a small handful have been able to gain height, but have not yet reached the expectations of the summit.\r\n\r\n Talking about the progress of women'`s human rights, in our opinion, would be tantamount to balancing positions in government and private structures because women must be given the opportunity to prove,  to demonstrate their abilities and strengths.\r\n\r\nIt will also be a question of putting the education of the girl child at the same level as that of the boys, both at the family level and at the school level."
17868,
17869,
17870,
17871,Nothing because women are increasingly marginalized 
17872,We'`ll be enjoying true equity
17873,
17874,The a level of progress for those that are being reached out to but more need be done
17875,Taking another tren
17876,Progress for women'`s human rights look amazing and helpful in the society
17877,More education political positions where you can support realme te ala mujer no palabras hechos
17878,Achievable
17879,
17880,
17881,"For women to have equal rights as men,"
17882,
17883,
17884,Mal\r\n
17885,
17886,
17887,It'`s on the path but gradually.. The facts are still being ignored 
17888,
17889,As long as we still have the same political environment where pple are afraid to air their views we will be i the same position 
17890,
17891,80% change
17892,"Nothing much. With all these crimes of passion, it is clear that women still have a long way to go for their rights."
17893,A world free of violence. Full implementation to all instruments that prohibits violence against women and girls. Zero tolerance and political will to include women human rights issues as part of the development agendas. 
17894,I think there will be a big evolution
17895,
17896,Nothing will change if the political field doesnt change
17897,
17898,
17899,Empowered women leaders 
17900,Excellent
17901,
17902,
17903,Having a woman president.\r\n\r\nHaving women in positions not because of a quota system but because of genuine equal opportunities. 
17904,
17905,Improving
17906,Amazing independent free as the young generation us are able to end it as we don’t follow the crazy culture where they say women are inferior to men. 
17907,Many women will be more considered and more empowered 
17908,30 per cent progress
17909,
17910,
17911,
17912,
17913,
17914,
17915,Impressive.
17916,To change some of the law within the education center
17917,
17918,"I believe that the struggle to achieve protection and equality continues and more laws that provide us with education, and security in 5 all senses, will also continue to be promoted. "
17919,
17920,
17921,
17922,"Here in Zimbabwe I dont think much will have changed,,some of the causes of violence against women are propelled by the economic situation,,,poor living conditions,inability of the man to provide for the wife and child leading him to be violent towards them. Change in the direction of the economy may help. "
17923,Progress for women rights in 10 years will make women to know their values and their roles in society. 
17924,
17925,
17926,
17927,
17928,
17929,
17930,
17931,I see a better world with women leading. 
17932,
17933,
17934,
17935,
17936,
17937,
17938,
17939,
17940,
17941,
17942,
17943,
17944,
17945,
17946,
17947,Better programming
17948,
17949,There would be a complet change
17950,
17951,Better
17952,"I believe we are all equal as man ,so we should bee be treated equally. "
17953,Women are getting liberated and the status quo is changing to be better. With education we can do it
17954,
17955,
17956,
17957,It will be more voracious in the sense that women of all ages today are already beginning to take in hand the queens of their lives they no longer let themselves be influenced by society but influence and in ten years we can be sure to have a predominantly female hierarchy.
17958,
17959,Most probably improved
17960,
17961,
17962,Acceptable by the Community. All inclusive governance.
17963,Good 
17964,Gender equality without distinction 
17965,
17966,Will surely be the greatest achievement for women 
17967,
17968,Best\r\n
17969,"Women are taking up spaces from social platforms to the cooperate word. So l see major improvement ,our voices being heard . The future is female!"
17970,Women Human Rights is far behind from where are stand..
17971,
17972,
17973,
17974,"Peace at work ,at home ,in the society . Womens Financial Independence not seen as intimidating to the community . Equity for Women not seen as sexual objects to be traded especially by paying brideprice."
17975,"Empowered women, involved in society"
17976,
17977,
17978,Yes
17979,
17980,
17981,
17982,
17983,
17984,
17985,
17986,None
17987,
17988,
17989,"In my country it takes time, now there are many bodies that claim to defend women'`s rights, but nothing concrete.  I am pessimistic. "
17990,
17991,A woman Will rule the world
17992,The woman will have more confidence in herself and will become aware of the power she holds in order to rally her entourage and have an impact in her professional environment and thus impact the world
17993,
17994,
17995,
17996,
17997,
17998,"Developing countries will still lag behind significantly,  because as long as there are issues of poverty and economic instability womens human rights will be seen as childs play. "
17999,"For me, it will take up progress in terms of education."
18000,
18001,Autonomy for women.  In marriage equal partners 
18002,
18003,I believe in the next 10 years there will be drastic improvements for women'`s rights due to progress in education and technology also cultural and social changes will have an impact
18004,
18005,
18006,
18007,
18008,
18009,Not encouraging at all
18010,it will change for the better
18011,
18012,
18013,
18014,
18015,Citizens'` equality \r\nReason of expression 
18016,
18017,Powerful
18018,"In 10 years time , many people will be able to understand their rights"
18019,
18020,Freedom
18021,I think it will be better than today
18022,Where women are treated fairly and equal in all aspects of life
18023,
18024,
18025,
18026,
18027,
18028,
18029,
18030,
18031,"Financial freedom, access to health,  Abuse free world "
18032,
18033,Men will no longer have autonomy because women are taking power 
18034,
18035,I don'`t know
18036,Immensipation more present in state life
18037,
18038,
18039,Women will have the full right to express themselves in each variant society and from there they will be of immense help in the development of society and conservation of culture. 
18040,
18041,I believe it going to be great and it'`s going to help so many women out there
18042,
18043,There is much talk about it and i think in 10 years womM would have achieved more
18044,full respect for women 
18045,"If we change our attitude, we can have equality and respect in all areas."
18046,
18047,It may get a little better
18048,Very low because of discrimination 
18049,Improve
18050,
18051,"If we do not do something, we all believe that we will be in a critical situation, it all depends on the importance that is given to this issue."
18052,
18053,
18054,Better
18055,We will have independent women 
18056,
18057,
18058,Very good
18059,Educating thegirl child so as to encourage idipendence to avoidgender based vilence in Developing nions such s Zimbwe and the world over. 
18060,
18061,
18062,To a life of peace sense violence nor bad things a beautiful and adorable life sense problem in society and the real life of the woman
18063,
18064,
18065,They will make great strides if cultural and religious barriers are broken
18066,Stability
18067,Looks bright 
18068,"In view of the past years, I whatever the woman reoccupies her place little by little. In 10 years, she will be able to enjoy her rights in a more excellent way, but it will not be total. Society has not been totally purged of its distorted view of women."
18069,Equal
18070,Woman will be empowered and will rule the world
18071,
18072,
18073,
18074,
18075,
18076,
18077,
18078,they is no progress in women'`s rights because in evry month 1or 2 women are killed in abusive relationships\r\nmost women are trying to make ends meet because their husband'`s left them\r\npaying fees for the children \r\nputing food on the table\r\nclothing\r\nmedicatio\r\nbills \r\njust to mention but a few\r\n\r\nthey is need to reach out there  to the community to highlight that womens are not tools they have rights equally as man we are protected by the Zimbabwean Constitution  sectin 17\r\nsection 56\r\nsection 80\r\n\r\nthey is need for ratification of gender progressive International and regional treaties and protocols such as\r\nCEDAW 1979\r\nBeijin Declaration 1995\r\nSADC protocol on Gender and Development 2008\r\nuniversal declaration of human rights 1948
18079,
18080,I think they will be a great improvement because I can see progress already
18081,
18082,
18083,In 10 years the project of women'`s human rights would not have really changed in Africa because the problem of mentality and culture (African tradition) remains a great obstacle 
18084,
18085,
18086,
18087,
18088,
18089,When women can be judged by their skills and not by their gender
18090,I have no idea 
18091,Hopeful
18092,"In my region, a bit above what is currently on the ground but not much change will have happened in 10 years. Just recently the quota system which guarantees a 30% of female represantation was extended to local government while in other countries this was already a given. Zimbabwe is taking baby steps towards progressing in human rights so in 10 years it will just be a little different from now."
18093,
18094,
18095,
18096,
18097,
18098,
18099,
18100,It will resemble a social balance and close human collaboration
18101,
18102,Well improved
18103,
18104,
18105,Women are human too.. they shd be treated right and allowed to choose the life they want to lead
18106,
18107,I honestly see a drawback because covid 19 has negatively impacted a lot of African women and their rights are continually discriminated against simply because they find themselves in desperate situations 
18108,"In 10 years women will still not have managed to be considered at their true value. There are certainly big improvements, but this being the women themselves get lost in what they really want. "
18109,
18110,"When women are  not sidelined whenever they try to improve or achieve anything socially, politically or economically"
18111,A real success 
18112,It will lead to the increase in peace and successful development which will creat liberation for all women world wide. 
18113,
18114,Asatu\r\r\nFatu\r\r\r\r\r\r\r\r\n\n\r\n\r\n\n\r\n\r\r\n\r\r\r\r\r\r\r\r\r\r\r\r\r\n\ r\n\r\r\r\r\n
18115,
18116,"I fear things are going to get worse, in my thinking "
18117,
18118,
18119,
18120,80%
18121,a political  party run by women for women
18122,
18123,To protect children and young women
18124,
18125,
18126,ucch shiksha and patrik sampati me baraber ka hukk
18127,
18128,
18129,
18130,More violence against women more women dying on childbirth tables more children disappearing without knowing why more hunger more war but peace in the world 
18131,
18132,"Equally property distribution from parents for both girls and boys child, no dowry system, a girl should be educated and financially stable to stop domestic violence or harassment, she should be able to raise her voice against harassment "
18133,
18134,Great because there are achievements of determination that we make imaginary
18135,
18136,Hopeful patriarchy will be at its lowest since people would be well informed 
18137,"It will be better, women voices are being heard everywhere. "
18138,
18139,nothing
18140,"all women wil be indeopent in all field, finiancial, social and so on . "
18141,In evolution
18142,There a progress but very small though
18143,For the better.
18144,I don'`t know I have no idea in Honduras governs a great uncertainty
18145,"We are entrepreneurs, but it is slow"
18146,
18147,
18148,
18149,The image that the media is promoting to women will take us back. 
18150,
18151,
18152,
18153,"The progress for women’s rights is to see each girl knowing that she can be any thing that her opposite gender can be, we can be more involved with out mom shaming and with self confidence and respect "
18154,
18155,
18156,
18157,Succed
18158,
18159,It'`s going to be breath taking considering how much perceptions have changed and still are.
18160,In 10 years Women of rural Nepal will fight for their education. There will be less number of early marriage. They can freely choose their partner to marry. Whether to marry or not will be a personal issue and it wont be questioned by the society. Women will be more self employed with less number of children. Womens´ number  will increase in politics and other social sector. 
18161,Good work 
18162,Very well
18163,
18164,Women must treated the same as man are treated 
18165,CAN'`T Tell now\r\n
18166,"Women are struggling a lot as for decades to be taken into account, I am sure that everything will be better for us in 10 years"
18167,
18168,
18169,
18170,
18171,
18172,
18173,
18174,
18175,Women'`s rights have started to progress for the past tears and will continue to... the social and cultural differences set upon women are changing but by bit .. and this shows in the next 10 years women'`s rights will be realised in diverse ways...
18176,
18177,"I hope that within 10 years the rate of femicide will decrease by at least 90% that in Latin American countries women can have a real relevance, where they can express their opinion and be heard and that adolescents are taught that they can be independent and boys teach them that women make their own decisions and that they must accept and respect it as well as respect the decisions and opinions of another man."
18178,
18179,
18180,
18181,I don'`t think there'`s much progress.
18182,Okay
18183,
18184,"In my country women'`s rights are available, "
18185,In the 
18186,A lot better 
18187,Freedom
18188,"In contest of nepal, women are forced to marry culturallay ,they don'`t have right to choose career and educaion in more areas... "
18189,Top
18190,Human right as a good woman I have to be honest and patient in everything I do has to educate my friends and family
18191,
18192,"If we seek to educate ourselves, we can see a substantial change in women since childhood socializing the problem and applying it. "
18193,"I see it unlikely to improve, the culture prevents, the change begins in the way children are taught. I have 2 children and respect is the first thing I teach them. if you respect the genders you do not harm, you do not mistreat, you do not speak before you think ..."
18194,In my country I believe it will improve my them
18195,Better
18196,Nothing 
18197,
18198,
18199,
18200,In 10 years progress for women'`s human rights will be a great inspiration and motivation to all women around the world and women will know the value they have and the impact they have on the world at large. 
18201,There has been greater empowerment of women in many areas. Everything will improve if we continue to raise our voices. 
18202,
18203,
18204,Progress for women in my country is on the negative effects. Women r not making no impact in my country. Woman are been marginalize in so many ways in liberia. Work places bosses request to sleep with females b4 getting job.
18205,
18206,
18207,
18208,In 10 years time women will be more reckoned with in the society.
18209,
18210,Involvement in public opinion
18211,"As time goes by, women'`s human rights evolve as new needs and circumstances arise, in my opinion, we face new struggles for the acceptance of this evolution. "
18212,It will be a success
18213,
18214,"Though slow paced but women are beginning to understand and speak up up for themselves so as to free themselves from bondage through their reproductive rights and choices, career and social inclination. I see more women free and acheiving more in the next 10 years. "
18215,
18216,
18217,
18218,Important progress and builders 
18219,A financially secure and independent woman. \r\n
18220,
18221,"If they wake up, slight progress"
18222,Great
18223,Changed from worse to better
18224,
18225,Very little in this country women still do not have rights 
18226,Maybe they do nothing and less for older women 
18227,
18228,
18229,
18230,Due to the women empowerment. There is an increase rate where women are being given their own rights
18231,
18232,Not setting
18233,
18234,
18235,
18236,
18237,
18238,
18239,
18240,
18241,Women having to be able to be recognised as capable in important decision making. \r\nWomen being able to stand on their own financially and being influential in society and economy world wide
18242,
18243,More women in leadership in private and public sector particularly in science
18244,
18245,
18246,To stop domestic violence 
18247,tremendous
18248,Kuchh sudhar
18249,"The last decades of Venezuela have been characterized by a series of changes and decline not only in the progress of women'`s human rights, but of the entire society and people in general. That is why glimpsing the future of the progress of women'`s human rights positively is still very uncertain in our country."
18250,From my country it'`s still a long fight away. Women are pushing but the progress is slow. In the next 10 years Liberia will have a progress of  30%
18251,Uncontrollable
18252,
18253,
18254,Very advanced since year after year women are obtaining the same recognition that men have in society 
18255,Habra improved a lot
18256,
18257,
18258,Likely
18259,I see a better future and betterment for the future
18260,
18261,Good for African women
18262,
18263,
18264,Better
18265,It will be far better than now.\r\n
18266,
18267,
18268,Overwhelming and amazing.
18269,standard
18270,
18271,
18272,
18273,
18274,
18275,I don'`t know.. depends on many situations\r\n
18276,
18277,5
18278,
18279,
18280,S/c
18281,Little would be done because of the greedness of the top people especial the politicians 
18282,Well advanced
18283,
18284,
18285,
18286,It'`s whereby women are given equal opportunities as men in all aspects including politics
18287,
18288,
18289,
18290,
18291,
18292,Still struggling and hardly supported
18293,
18294,
18295,Making every woman superior 
18296,
18297,Women'`s rights will be embraced much better than today
18298,
18299,
18300,0%
18301,Looks improving even though there is a lack somewhere somehow
18302,
18303,
18304,
18305,Something better encouraging
18306,Very little progress with the kind of leadership that we have in Africa with no regard for democracy and youth and women empowerment 
18307,Now can be leaders 
18308,
18309,
18310,
18311,
18312,
18313,
18314,
18315,
18316,
18317,Improvement\r\n
18318,There are no any improvement on women side in this 10 years in our country. Because of base on narrow thinking  of our old rituals are not get permission to women for get  healthy education and job until now.
18319,In ten years time women'`s human rights will be equal to men'`s
18320,
18321,
18322,
18323,Hopefully better 
18324,Promising we can achieve it with collective efforts
18325,Better
18326,
18327,
18328,
18329,
18330,We don'`t have rights\r\n\r\n
18331,
18332,Normal
18333,
18334,
18335,9
18336,
18337,There is a little bit of  Improvement  in resents yers But we still need more to reach the global requirements 
18338,
18339,
18340,
18341,
18342,
18343,
18344,very powerful 
18345,"I don'`t know how human rights was at that time,because I never new myself ."
18346,
18347,
18348,
18349,
18350,
18351,Very little\r\n
18352,
18353,
18354,
18355,Gender equality 
18356,
18357,"Independent wonen, respect for women, involvement of women in decision making, healthy community"
18358,It has not been good in term of women human right for me in 10 years now.\r\nIt has been a thing that has been marginalized by men in my country.\r\nThings will get better as we continue the fight against crimes that dehumanize women.
18359,
18360,"Progress for women human rights issues can be reduced or eliminated in Liberia through efforts from governmental agencies implementing the law or policies in term of violation.  With current blame games on women'`s rights issues in Liberia, it has the propensity in getting worse. There is less done by government currently in creating enabling  environment for women as per their rights. For example Sexual harassment and exploitation is one of the worst nightmare for women who are seeking employment or are employed in Liberia. "
18361,
18362,
18363,
18364,50% progress
18365,
18366,Okay if given priority it will be better
18367,
18368," Women become more educated , responsible , self defensive and independent \r\n"
18369,To some extent it'`s improving but needs an enhancement\r\n
18370,
18371,
18372,"The progress of women'`s rights was rising during the term of our 1st female , Her Excellency Ellen Sirleaf, but for  now women'`s rights is not really given compare to the past regime. "
18373,"There is little progress in advocating for women'`s rights especially in Africa, so maybe hoping that in 10 years they will be a great change in how women can empower themselves without depending on a male figure so that they will be less cases of women'`rights violations.\r\n "
18374,
18375,
18376,"There is no future, if we do not give young people a good education."
18377,
18378,
18379,improved 
18380,
18381,Not much progress
18382,75%
18383,Women would have come out to defend their rights regardless of their culture and social perception
18384,The disadvantages in all rights and meals
18385,
18386,
18387,
18388,
18389,
18390,
18391,
18392,It will be a nation thing in the next ten years
18393,
18394,
18395,They will be all be viewed as equal to males. 
18396,
18397,
18398,
18399,Improving
18400,
18401,I think gender equality and equity will be highly practiced so a great improvement will be there
18402,
18403,
18404,Promising to be better due to various programmes intended to empower women
18405,Nice
18406,
18407,If well represented and addressed  i am sure women'`s human right can be respected and equality will be practised
18408,Still wanting
18409,
18410,
18411,
18412,Is the best
18413,
18414,Very crucial
18415,Very well
18416,Quite good to us we cost hard to achieve what we enjoy today and I do not think that in these times with all the technological advances we do not reach further than what we are today the woman tends to lead the world we are the most qualified 
18417,Maybe it gets worse although I am a woman and disappointment women are protected and listened to there are things that are coming out of the subject as totally insulting freedoms for humanity rights with a harmful abortion morbidity and others that what they are causing is more damage to society I do not look at it a point in favor since we lose values. And I respect.\r\nI think it is good to be heard and not be afraid to leave feeling safe which I support and many others from my perspective I do not think it is the correct according to my principles 
18418,"Women are liberal and advanced in all fields with the percentage of tunisians, but this emancipation will be reflected negatively towards the coming years. "
18419,
18420,
18421,
18422,Very slow and not encouraging we need change
18423,
18424,
18425,
18426,Great
18427,
18428,
18429,It would have drastically improved as today'`s woman is vocal and know what they stand foe
18430,
18431,
18432,Improved
18433,
18434,
18435,"It looks positive if we, (as women) work together in empowering each other."
18436,Leading as women in presidential office\r\n\r\n
18437,Maybe they will improve by 20%
18438,
18439,
18440,Good 
18441,
18442,
18443,
18444,
18445,"If we all come together in 10 years from now,... our voices will be hard as women."
18446,There is hope\r\n
18447,If we continue united at the global level we will be strengthened we will be able to live on a planet free of violence and abuse in full Freedom.
18448,Progress for women'`s rights looks at women empowerment and equality. It shows woman participating in developmental work just like men in 10 years.
18449,Right to make there own decitions on whatever they want to do
18450,"I believe that women'`s human rights after 10 years will have reached the capacity of women emancipation as we seeing women'`s rights are being advocated for globally . Just seeing countries that were not allowing women to drive cars now passing laws for women to drive is an achievement in the efforts for gender equality. Women are taking lead in male dominated spheres we now have more women Presidents,Directors,Pilots ,Captains ,Racers the list goes on this shows that we steering women'`s empowerment in the right course."
18451,
18452,
18453,For Zimbabwe l think the future  for gender equity looks bright.ln 10 yrs . A lot of effort is being put by way of educating both man and women on the importance of gender equality . Awareness campaigns are being held by different organizations in effort to correct the social wrongs that have been perpetuated over a long period of time .
18454,"To be better, stronger and heard of."
18455,By the year 2030 women will have progressed 80%
18456,
18457,Good
18458,
18459,"In 10 years, the prospect for women in leading positions will increase, however equal work, equal pay must be legislated into law all around the world, so that violators are brought to justice."
18460,
18461,To protect and fight for women to stand for their right
18462,
18463,
18464,
18465,
18466,It will help keep woman from be abuse by the community at long.it will serve as a reference for a job well done.
18467,Improved
18468,
18469,In view of the decline of society in 10 years there will be no men or women but genderless entities 
18470,
18471,
18472,
18473,It will remain the same because our Arab society does not gasoline progress and will keep looking at women as a weak being
18474,
18475,It is quite progressive although we must continue to achieve the objectives and goals proposed
18476,
18477,
18478,It will be fair 
18479,Women will be Skilled and educated  citizens 
18480,
18481,improvement!!
18482,Hope to see commendable progress
18483,Mujhe nahi malum
18484,Same as today
18485,If we educate ourselves we will be socialized we will improve and we have an opinion 
18486,Good
18487,"Well, all women have the right for equality and we can be respertada"
18488,Its bright if women can come together and fight for their rights without barriers and PhD syndrome.
18489,
18490,
18491,Koi bhi nahi
18492,
18493,Bad
18494,In my country  and void because everything is misdirected in terms of human rights refers only to prisoners but not to women who are violated or exploited in different scenarios 
18495,
18496,"Women in every sector occupying 50-60% of the top positions, parliament seats. Women being heard without having to shout (demonstrations). Women being  viewed as equals to our fellow genders and having 0 violence against women. Lastly having our sons being taught by family, society and schools the importance of a sister, female friend and mother."
18497,
18498,nothing 
18499,
18500,
18501,
18502,
18503,
18504,satisfaction 
18505,I think it'`s progressing positively considering the fact that we continue to see the number of women participating in various entities heighten 
18506,
18507,
18508,I hope q is much better than the moment
18509,Alot to \r\n
18510,
18511,It will look like an equal opportunity for the girl child in all leadership positions and ifluential posts so that women are able to voice off their own notions.
18512,"There is a shift to the positive direction, although we still have a lot to be done to make the issue of Woman'`s Human rights applicable ."
18513,
18514,
18515,Better
18516,
18517,
18518,
18519,Achievement of gender equality 
18520,
18521,50%
18522,
18523,
18524,"There is still some improvement as compared to earlier, but there is still a need to increase a lot. "
18525,There should be no need for a qouta system especially in politics . Because women are equally qualified as men\r\n
18526,
18527,
18528,
18529,
18530,
18531,
18532,Really can not tell because of the lack of political will in addressing women issues.
18533,With girl child empowered . I see 50 % progress
18534,
18535,good
18536,
18537,
18538,Better
18539,
18540,"To support the most vulnerable in society through providing access to healthcare, social services, education and economic empowerment initiatives with particular emphasis on women, youth and children."
18541,
18542,It will develop and it will help women to know their rights 
18543,
18544,
18545,5
18546,
18547,important 
18548,I hope women will have freedom to archive their dreams without being marginalized. That basic female needs would be free because it is not a choice. We can also earn like our males and have equal salaries 
18549,"In my country, i think we l probably still be where we are now. More and more people getting informed but now enough implementation happening."
18550,
18551,
18552,
18553,
18554,It looks like a divine change for women around the world who want to be an independent woman.
18555,
18556,
18557,
18558,
18559,
18560,
18561,VERY POOR.  WOMEN IN MY COUNTRY ARE STILL VERY MARGINALISED.  IN THE WORKPLACE WOMEN ARE STILL VERY MUCH DISCRIMINATED
18562,"If the mechanism put in place are effective and we'`ll coordinated, then women right  within the ten years will respected and honor"
18563,"Personal power to control one'`s  own life and decion making supported by universal  childcare, medicare  and guaranteed  minimum  income.. Education free to girls and women in thirdcworld countries"
18564,Yes
18565,
18566,Equitability in all positions 
18567,Always try to help
18568,It'`s not going to change much. 
18569,Excellent\r\n Empowered 
18570,"It has been better, but there'`s a need to continue."
18571,Its kind of bit trying but we have more to do
18572,
18573,Negative turn
18574,Bad
18575,
18576,
18577,A set goal to be achieved where a woman is seen as supportive who can help bring about solutions to various problems challenging the society.
18578,
18579,equal to the man
18580,Women in African countries should be able to speak up their minds as well as to be great leaders in the different sectoral dimensions of our continent.
18581,
18582,
18583,In the shadow of the current situation and the incursion of the Muslim Brotherhood into state institutions the field of women'`s rights will see a decline and not progress especially in the field of rights and freedoms
18584,Women will not be emotionally dependent on a man. Learn that alone you can too.
18585,Very little
18586,With better education advocacy legal framework and class acts we will get there soon
18587,Changed for the better\r\nI think
18588,Impressive
18589,"That we no longer have to compare ourselves with men, but live our potentials, our visions and for our goals autonomously. Gender diversity is needed in its own strengths. And there is no need for nepotism and no preference for the one powerful sex."
18590,For women today a very big role in many fields they are controlling most of them it is sure that the woman will head many important positions in the future 
18591,80% \r\nEducative and both Social.
18592,
18593,I hope it'`s better if he says she continues to uphold her rights despite the difficulties.
18594,
18595,
18596,20%
18597,"We are making strides,although culture will always remain a big barrier"
18598,"At this rate of progress that it takes, we will continue to be the same in unprotection."
18599,
18600,50
18601,"I hope that it will be more open, that they will provide more opportunities and that they will be given more participation, freedom and recognition."
18602,
18603,
18604,
18605,
18606,"An environment devoid of Gender Based violence, with 50% women representation in Parliament, and the workplace"
18607,Abit better but not significantly different from now
18608,It make the world progressive 
18609,It will progress well
18610,
18611,Great and fast progress
18612,Education & Capacity. Or  quality  &  expersnce to be needed for all
18613,
18614,As long as men still pay lobola and are said to be superior and women are not empowered women'`s rights will be abused
18615,
18616,Better change of the environment and mindset of people towards acheiving common goal and protecting girls child 
18617,
18618,"Women'`s voices shall be heard ,,equality shall prevail and a woman will ne independent. "
18619,
18620,
18621,
18622,Little is very little aid to women'`s human rights
18623,
18624,"Financially, because of the wide spread general poverty caused by unemployment, women have entered the employment sector despite the discriminative social factors.\r\nIn education, women will have better literacy because of increased advocacy and policy changes through affirmative action."
18625,Women empowerment and business run by women only
18626,
18627,
18628,
18629,Better 
18630,
18631,
18632,
18633,
18634,
18635,
18636,I think in 10 years women'`s rights will be highly upheld.
18637,I anticipate women'`s human rights becoming globally held to within the next ten years. Specifically on the African Continent
18638,
18639,Equal participation for women in all sectors at every level. 
18640,Zero 
18641,
18642,Poor progress
18643,
18644,"At the rate we are going in Zimbabwe, there ple of Zim will have covered good ground. In fact the rights of women will be much visible that they are today"
18645,
18646,
18647,
18648,Working towards ending cultural issues that look down upon women.
18649,
18650,not much change. Too much talk with  little action 
18651,
18652,
18653,
18654,
18655,
18656,
18657,
18658,
18659,Aatmanirvar
18660,
18661,
18662,
18663,
18664,This is the year I have seen changes.  Women are being given district council position and standing for their rights. Some are have obtained high posts eg the md of lafarge. Corporate governance issues are seen to be handled better by women.
18665,I don'`t see a future in my country 
18666,Promising
18667,in high range but for this we must be educated and have knowledge and work for economically growth if we have chance  women can live happliy 
18668,
18669,Good
18670,
18671,
18672,
18673,I think that the culture of the countries is that women often cultivate machismo not teaching them small ee that we are all equal and we must that each one is a complement to the
18674,"Woman Right? In Nigeria, back"
18675,There is a chance for brighter future 
18676,slow
18677,Improving
18678,Pace is very slow and ineffective 
18679,"Overwhelming progress in some countries and systematic violence on the progress of women in other countries, i.e. women worldwide do not progress as much "
18680,Well we would be unstoppable... We could do all we want without anyone pulling us down.. Being from an African country where the man is the head of the house its not so easy for women to live to their full potential
18681,Zero tolerance to poverty. Women empowerment through education
18682,
18683,
18684,
18685,"More than equality, but equity between men and women, but also between women themselves who are form diverse backgrounds, depending on their needs and situation."
18686,
18687,
18688,
18689,No hope.
18690,Am not seeing anything yet
18691,
18692,its all dark always.no value for girls 
18693,All human should treated as equal 
18694,"improvement in education, gender equility and freedom of speech"
18695,Women still abdused
18696,5 % bhi nahi 
18697,
18698,100% equality in all sectors
18699,
18700,
18701,
18702,They will be no progress because right now they are not bothered about Women'`s rights
18703,Being able to hold positions of power where their voices can be heard\r\n
18704,Bad because it is misunderstooevered with feminism.
18705,It'`s great. 
18706,
18707,To have the same opportunity as compared to our counterparts. Having both genders heading organisations not being deputies in Africa it'`s rare to have a woman president having dealt with patriarchal society having both ideas taken into consideration. Women empowering each other instead of tearing each others down hence looking out for each other.
18708,"Oh, well"
18709,nothing
18710,More equitable and inclusive. 
18711,"Too much, and I'`m afraid that men will be left behind because they too are worth "
18712,
18713,
18714,"Very little cos the male folks don'`t take woman seriously as they should. Woman up there do not want other woman that are sincerely willing to help to grow. The pull her down insdrone. The unsincere women in politics are never willing to let women Right to grow sadly except its for their benefit as they don'`t want other women to know what they know or benefit as they are doing. Until we have unselfish women that are willing to take every woman along or see very woman as are sister no matter the reace or color and also introduce women Human rights education in nursery, primary, secondary and Higher education in all schools all over the world. Catch them young and make them understand the importance is the goal.  Thank you. "
18715,
18716,
18717,
18718,
18719,
18720,extremely deteriorating
18721,Equality of women rights
18722,
18723,
18724,
18725,Achieving women'`s human rights 
18726,In 10 years I look forward to see women in all top places. And also rules the global world. 
18727,They are powerful people there were helping woman 2 collect our right from our husband they are not serious
18728,
18729,There is improvement in the passed ten years because women were are not allowed to do but now days women can be a leader
18730,"I see a world whereby women'`s rights are respected, protected and promoted "
18731,
18732,
18733,
18734,
18735,
18736,
18737,
18738,women will have full rights to empower the community and female children to be independent adults
18739,
18740,
18741,Paediatrics
18742,
18743,
18744,
18745,Living freely 
18746,
18747,
18748,Some how fine
18749,"If the world doesn'`t get too much, I say it'`s a big introduction, especially in the Middle East countries, but we might go backwards."
18750,
18751,
18752,
18753,
18754,
18755,
18756,
18757,
18758,
18759,"Changes, empowerment and freedom "
18760,Unpredictable because of covid-19 but will still be the same
18761,Less women harassment and abuse . High rate of woman empowerment through education
18762,
18763,
18764,
18765,
18766,5
18767,Good
18768,
18769,
18770,
18771,
18772,
18773,
18774,
18775,
18776,
18777,
18778,
18779,
18780,
18781,
18782,
18783,
18784,80% Better
18785,No
18786,"A more stable environment, recognizing Women'`s worth and equitting the gender"
18787,
18788,
18789,Terrible
18790,
18791,
18792,
18793,
18794,
18795,In constant improvement.
18796,
18797,
18798,Thodi change o leken mahila darati hai voice daayaane to ensure her rights May be this is lack of education 
18799,
18800,
18801,"It'`s not yet upto standard for women still undergo hardships , violence,rape, don'`t have enough authority to do what they want.generally nothing has improved that much."
18802,No
18803,
18804,
18805,"Women'`s right is my priority, with the progress in this program women'`s right would be my hope and stay.is my legacy"
