iso3166,gender,race,age,language,progress_10_years_tr
LR,man,black_or_of_african_descent,25 to 34,,
NG,man,southeast_asian,25 to 34,,
NG,woman,choose_not_to_identify,18 to 24,,
CM,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,black_or_of_african_descent,35 to 44,en,"For women to own their own businesses, farms as well as to be on top positions in the cabinet\r\n\r\n"
ZW,woman,black_or_of_african_descent,25 to 34,en,in Africa women are still far from progressing 
HN,woman,hispanic_or_latinx,65 to 74,en,50%
ZW,woman,black_or_of_african_descent,25 to 34,en,It will have improved significantly 
HN,woman,biracial_or_mixed,45 to 54,es,If there is no injection of seed capital for support/start it will be prosperous or fall to more submission for women/girls
CM,woman,black_or_of_african_descent,25 to 34,,
HN,woman,hispanic_or_latinx,35 to 44,es,Not so good 
LR,woman,black_or_of_african_descent,25 to 34,en,"With the help of these organization in and around the world women is now respected in their  home, school, church most especially to their husbands  thanks"
CM,woman,black_or_of_african_descent,25 to 34,fr,"A concrete recognition of the status of women in the fields that are recognized to them, respect for their natural person through the banishment of prototypes for them. The promotion of girls'` education and equal access to employment."
CM,woman,black_or_of_african_descent,18 to 24,fr,Free choice
ZW,woman,black_or_of_african_descent,35 to 44,en,Women not being abused in public and people around turning a blind eye\r\n\r\nDomestic Violence at a minimal 
BR,man,asian,18 to 24,fi,Ismo
ZW,woman,racial_identity_not_listed,18 to 24,,
CM,man,black_or_of_african_descent,25 to 34,,
CA,woman,asian,25 to 34,fr,Hummmm
LR,woman,black_or_of_african_descent,35 to 44,,
CM,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,black_or_of_african_descent,35 to 44,en,Slower 
CM,man,black_or_of_african_descent,25 to 34,,
ZW,woman,black_or_of_african_descent,35 to 44,,
TD,gender_choose_not_to_identify,choose_not_to_identify,25 to 34,,
LR,woman,black_or_of_african_descent,55 to 64,en,"Progress for Women""s human rights here for in 10 years look very slow due to our judiciary system."
CM,woman,black_or_of_african_descent,25 to 34,,
ZW,woman,black_or_of_african_descent,25 to 34,en,In 10 years time more women will have the knowledge of their rights in society and if there is any case of abuse and harassment women will be confident to come out to report these issues to the relevant authorities.
CM,woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,35 to 44,,
NG,cisgender_man+man,racial_identity_not_listed+black_or_of_african_descent,18 to 24,en,Improvement
ZW,woman,black_or_of_african_descent,45 to 54,,
ZW,woman,black_or_of_african_descent,25 to 34,en,Equal opportunities for women 
NG,woman,black_or_of_african_descent,18 to 24,en,Freedom of women\r\nLack of gender differences of women
LR,woman,black_or_of_african_descent,35 to 44,,
CM,man,white,18 to 24,,
ZW,woman,black_or_of_african_descent,45 to 54,en,"No violence  or discrimination  against women in social, political, cultural  and economic  spheres  of life"
CM,woman,black_or_of_african_descent,18 to 24,fr,More dependent 
CM,man,choose_not_to_identify,25 to 34,,
CM,woman,black_or_of_african_descent,35 to 44,,
CM,gender_choose_not_to_identify,black_or_of_african_descent,18 to 24,,
CM,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,racial_identity_not_listed,55 to 64,en,When gender equality is realised and 50/50achieved
CM,woman,north_african,45 to 54,en,Unereusite
LR,woman,black_or_of_african_descent,25 to 34,en,"10 years from now I hope to see a world where women are no longer marginalized because of culture, society and and other factors \r\nI hope that everyone gets to understand and accept that women are capable of making positive changes and imparts\r\nIt is my fervent hope that women wouldn’t be limited ever again "
CM,woman,black_or_of_african_descent,45 to 54,fr,Equality 
ZW,woman,black_or_of_african_descent,25 to 34,en,There will be a better change in women'`s rights compared with today.
HN,woman,hispanic_or_latinx,25 to 34,es,Unfavourable
CM,woman,black_or_of_african_descent,25 to 34,,
HN,woman,hispanic_or_latinx+indigenous_central_or_south_american,55 to 64,,
CM,woman,choose_not_to_identify,25 to 34,,
CM,gender_choose_not_to_identify,black_or_of_african_descent,18 to 24,fr,To have the same rights of access to all types of work as men no longer be judged and treated to be of the weaker sex just because we are women and not I demand equal rights as men.\r\n
CM,woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,35 to 44,,
NG,woman,black_or_of_african_descent,45 to 54,,
CM,woman,black_or_of_african_descent,35 to 44,,
CM,woman,white,25 to 34,,
ZW,woman,black_or_of_african_descent,35 to 44,en,50% or more representation in parliament 
HN,woman,hispanic_or_latinx,35 to 44,,
CM,woman,black_or_of_african_descent+north_african,25 to 34,fr,"That many women be more marginalized, that many be independent, that many be educated,.. etc etc"
CM,woman,black_or_of_african_descent,18 to 24,,
CM,woman,black_or_of_african_descent,18 to 24,fr,It will allow women to work as well as men
HN,woman,biracial_or_mixed,45 to 54,es,"It depends a lot on those in charge of dispensing justice, "
LR,woman,black_or_of_african_descent,25 to 34,en,To be independent in making positive decisions for themselves.
CM,woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,55 to 64,fr,Women who know their rights and fight for them
HN,woman,biracial_or_mixed+hispanic_or_latinx+indigenous,25 to 34,pt,But the least
CM,woman,choose_not_to_identify,25 to 34,,
CM,woman,black_or_of_african_descent,25 to 34,,
HN,woman,hispanic_or_latinx,35 to 44,en,1
LR,woman,black_or_of_african_descent,18 to 24,en,It'`s a revolution
LR,woman,black_or_of_african_descent,35 to 44,en,Putting a complect end to violence against woman; girls and boys
CM,woman,black_or_of_african_descent,35 to 44,,
CM,woman,black_or_of_african_descent,25 to 34,,
ZW,woman,black_or_of_african_descent,18 to 24,en,"Improvement up to 95% \r\nEnd to domestic violence cases by 2030. \r\nGender pay gap to be a thing of the past, with equality throughout all sectors"
CM,man,black_or_of_african_descent,25 to 34,fr,To sink into total chaos if nothing is done
CM,woman,black_or_of_african_descent,18 to 24,,
CM,woman,black_or_of_african_descent,25 to 34,fr,More involved in key positions believe in her and especially that their education entitles me to school 
ZW,woman,black_or_of_african_descent,35 to 44,en,Full participation of women in decision making and participation in politics
ZW,woman,north_african,25 to 34,,
ZW,woman,black_or_of_african_descent,18 to 24,,
HN,woman,hispanic_or_latinx,35 to 44,es,Most critical
LR,woman,black_or_of_african_descent,45 to 54,en,Very bleak
CM,woman,black_or_of_african_descent,45 to 54,,
ZW,woman,black_or_of_african_descent,25 to 34,en,Women'`s rights are achievable
CM,woman,black_or_of_african_descent,25 to 34,,
ZW,woman,choose_not_to_identify,25 to 34,en,
HN,woman,indigenous_central_or_south_american,25 to 34,,
CM,gender_choose_not_to_identify,choose_not_to_identify,35 to 44,,
HN,woman,choose_not_to_identify,18 to 24,,
ZW,woman,black_or_of_african_descent,18 to 24,en,All woman should be equalized with those of the opposite sex. And also every women should be educated and is able to sustain her needs and wants
ZW,woman,black_or_of_african_descent,25 to 34,en,Total freedom for women
HN,woman,hispanic_or_latinx,25 to 34,es,"Well, the truth in my country there is a lot of corruption and there are no women'`s rights are not fulfilled children do not have protection"
ZW,woman,black_or_of_african_descent,18 to 24,en,I think women we need to be taught self valuing. As far is my country equal rights are being emplimated far that even the boy child is being dissadvantaged but still the ladies we are not doing something productive. We need to know that we are worth something on our own cause ladies still think being married is a goal in life.
ZW,woman,black_or_of_african_descent,18 to 24,,
LR,woman,black_or_of_african_descent,35 to 44,en,Going to be better
CM,man,north_african,18 to 24,,
ZW,woman,black_or_of_african_descent,25 to 34,en,"Equal pay, more women in leadership positions, especially in politics, greatly lowered child marriages and accountability when it comes to sexual abuse-related cases"
CM,woman,black_or_of_african_descent,18 to 24,fr,Women would have the same rights as men and could therefore be taken more to the serous
CM,woman,black_or_of_african_descent,18 to 24,,
CM,woman,north_african,18 to 24,,
ZW,woman,black_or_of_african_descent,35 to 44,en,"It'`s getting better each day since it'`s now a global approach ,and in 10years I think 40% may be achieved.. "
ZW,woman,black_or_of_african_descent,25 to 34,en,
CM,gender_not_listed+woman,black_or_of_african_descent,18 to 24,,
CM,woman,black_or_of_african_descent,18 to 24,fr,For ten years the assumption of responsibility and the representation of women will contribute to the evolution and emergence of the populations of her country
CM,gender_choose_not_to_identify,black_or_of_african_descent,35 to 44,,
LR,cisgender_woman,black_or_of_african_descent,18 to 24,,
NG,woman,indigenous,25 to 34,en,Have to be in place
ZW,woman,black_or_of_african_descent,25 to 34,en,Equal opportunities in political; social; economical and educational systems. As well as awareness on issue to do with public health and reproductive health in both urban and rural areas
LR,woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,35 to 44,,
LR,woman,black_or_of_african_descent,35 to 44,,
ZW,woman,black_or_of_african_descent,25 to 34,,
MD,woman,southeast_asian,25 to 34,,
ZW,transgender_man,black_or_of_african_descent,18 to 24,en,It will be big
CM,woman,black_or_of_african_descent,35 to 44,,
ZW,man,choose_not_to_identify,18 to 24,es,No idea 
LR,woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,25 to 34,fr,Free to think for itself because the company has stuck a label of submission on us... Woman of power who is not afraid to dare it is true that nowadays there are some but the road is still long ...
LR,man,black_or_of_african_descent,18 to 24,,
LR,woman,black_or_of_african_descent,18 to 24,en,Progress for women human rights is very important.and I hope to see it improving and progressing years to come.
CM,gender_choose_not_to_identify,black_or_of_african_descent,55 to 64,,
CM,woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,35 to 44,fr,Nothing at all if we do not change mentalities or practices that are bad
CM,woman,black_or_of_african_descent,18 to 24,,
LR,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,black_or_of_african_descent,25 to 34,,
ZW,woman,black_or_of_african_descent,18 to 24,en,I think gender equality and equity will be highly practiced 
ZW,woman,black_or_of_african_descent,25 to 34,en,
CM,woman,black_or_of_african_descent,18 to 24,fr,"We live in a part of the world where women, compared to men, are always considered inferior on all levels (gender equality, physical, moral and even intellectual capacity, abilities to be a learder, etc.). In short, women are always classified, in most cases, as housewives and even when some work, they mostly do small businesses where they occupy very small positions in the structures. In Cameroon, for example, just a small handful have been able to gain height, but have not yet reached the expectations of the summit.\r\n\r\n Talking about the progress of women'`s human rights, in our opinion, would be tantamount to balancing positions in government and private structures because women must be given the opportunity to prove,  to demonstrate their abilities and strengths.\r\n\r\nIt will also be a question of putting the education of the girl child at the same level as that of the boys, both at the family level and at the school level."
CM,woman,black_or_of_african_descent,55 to 64,,
LR,woman,black_or_of_african_descent,18 to 24,en,
LR,woman,black_or_of_african_descent,35 to 44,,
CM,woman,black_or_of_african_descent,35 to 44,fr,Nothing because women are increasingly marginalized 
NG,woman,black_or_of_african_descent,25 to 34,en,We'`ll be enjoying true equity
CM,gender_choose_not_to_identify,black_or_of_african_descent,35 to 44,,
LR,woman,racial_identity_not_listed,25 to 34,en,The a level of progress for those that are being reached out to but more need be done
LR,woman,black_or_of_african_descent,18 to 24,en,Taking another tren
LR,woman,black_or_of_african_descent,25 to 34,en,Progress for women'`s human rights look amazing and helpful in the society
HN,woman,hispanic_or_latinx,35 to 44,es,More education political positions where you can support realme te ala mujer no palabras hechos
ZW,woman,black_or_of_african_descent,25 to 34,en,Achievable
LR,woman,black_or_of_african_descent,45 to 54,,
CM,non_conforming_or_non_binary+woman,black_or_of_african_descent,25 to 34,,
LR,woman,black_or_of_african_descent,35 to 44,en,"For women to have equal rights as men,"
NG,woman,racial_identity_not_listed,18 to 24,,
CM,woman,black_or_of_african_descent,18 to 24,,
CM,woman,black_or_of_african_descent,35 to 44,fr,Mal\r\n
LR,woman,black_or_of_african_descent,25 to 34,,
CM,gender_choose_not_to_identify,black_or_of_african_descent,25 to 34,,
LR,woman,black_or_of_african_descent,18 to 24,en,It'`s on the path but gradually.. The facts are still being ignored 
LR,woman,black_or_of_african_descent,35 to 44,,
ZW,woman,black_or_of_african_descent,35 to 44,en,As long as we still have the same political environment where pple are afraid to air their views we will be i the same position 
CM,woman,black_or_of_african_descent,25 to 34,,
ZW,woman,choose_not_to_identify,25 to 34,en,80% change
CM,woman,black_or_of_african_descent,35 to 44,fr,"Nothing much. With all these crimes of passion, it is clear that women still have a long way to go for their rights."
LR,woman,black_or_of_african_descent,35 to 44,en,A world free of violence. Full implementation to all instruments that prohibits violence against women and girls. Zero tolerance and political will to include women human rights issues as part of the development agendas. 
CM,woman,black_or_of_african_descent,25 to 34,fr,I think there will be a big evolution
LR,cisgender_woman+transgender_woman+woman,black_or_of_african_descent,25 to 34,,
ZW,woman,black_or_of_african_descent,25 to 34,en,Nothing will change if the political field doesnt change
ZW,woman,black_or_of_african_descent,35 to 44,,
LR,cisgender_woman+transgender_woman+woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,35 to 44,fr,Empowered women leaders 
LR,woman,choose_not_to_identify,35 to 44,en,Excellent
CM,woman,black_or_of_african_descent,35 to 44,,
LR,woman,black_or_of_african_descent,35 to 44,,
ZW,woman,black_or_of_african_descent,25 to 34,en,Having a woman president.\r\n\r\nHaving women in positions not because of a quota system but because of genuine equal opportunities. 
CM,woman,black_or_of_african_descent,25 to 34,,
ZW,woman,black_or_of_african_descent,18 to 24,en,Improving
ZW,woman,black_or_of_african_descent,18 to 24,en,Amazing independent free as the young generation us are able to end it as we don’t follow the crazy culture where they say women are inferior to men. 
CM,woman,black_or_of_african_descent,25 to 34,fr,Many women will be more considered and more empowered 
ZW,woman,black_or_of_african_descent,55 to 64,en,30 per cent progress
LR,woman,choose_not_to_identify,18 to 24,,
LR,woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,18 to 24,,
LR,woman,black_or_of_african_descent,45 to 54,,
LR,woman,choose_not_to_identify,25 to 34,,
CM,woman,black_or_of_african_descent,25 to 34,,
LR,woman,black_or_of_african_descent,35 to 44,en,Impressive.
LR,woman,black_or_of_african_descent,25 to 34,en,To change some of the law within the education center
CM,woman,black_or_of_african_descent,25 to 34,,
HN,woman,hispanic_or_latinx,55 to 64,es,"I believe that the struggle to achieve protection and equality continues and more laws that provide us with education, and security in 5 all senses, will also continue to be promoted. "
CM,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,black_or_of_african_descent,18 to 24,,
CM,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,black_or_of_african_descent,25 to 34,en,"Here in Zimbabwe I dont think much will have changed,,some of the causes of violence against women are propelled by the economic situation,,,poor living conditions,inability of the man to provide for the wife and child leading him to be violent towards them. Change in the direction of the economy may help. "
LR,woman,black_or_of_african_descent,25 to 34,en,Progress for women rights in 10 years will make women to know their values and their roles in society. 
CM,woman,black_or_of_african_descent,18 to 24,,
CM,woman,black_or_of_african_descent,25 to 34,,
LR,woman,black_or_of_african_descent,25 to 34,,
CM,woman,racial_identity_not_listed+black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,18 to 24,,
LR,woman,racial_identity_not_listed,25 to 34,,
CM,woman,black_or_of_african_descent,25 to 34,,
LR,woman,black_or_of_african_descent,25 to 34,en,I see a better world with women leading. 
CM,woman,black_or_of_african_descent,18 to 24,,
LR,woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,18 to 24,,
LR,woman,black_or_of_african_descent,35 to 44,,
LR,woman,black_or_of_african_descent,18 to 24,,
CM,non_conforming_or_non_binary+woman,black_or_of_african_descent,25 to 34,,
ZW,woman,black_or_of_african_descent,18 to 24,,
NG,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,black_or_of_african_descent,35 to 44,,
CM,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,black_or_of_african_descent,25 to 34,en,
CM,woman,black_or_of_african_descent,55 to 64,,
ZW,woman,black_or_of_african_descent,18 to 24,,
CM,woman,black_or_of_african_descent,35 to 44,,
ZW,woman,black_or_of_african_descent,18 to 24,,
NG,woman,black_or_of_african_descent,45 to 54,en,Better programming
CM,woman,choose_not_to_identify,18 to 24,,
ZW,woman,black_or_of_african_descent,18 to 24,en,There would be a complet change
CM,woman,black_or_of_african_descent,35 to 44,,
NG,woman,black_or_of_african_descent,25 to 34,en,Better
ZW,woman,black_or_of_african_descent,35 to 44,en,"I believe we are all equal as man ,so we should bee be treated equally. "
ZW,woman,black_or_of_african_descent,35 to 44,en,Women are getting liberated and the status quo is changing to be better. With education we can do it
CM,woman,black_or_of_african_descent,45 to 54,,
ZW,woman,black_or_of_african_descent,25 to 34,en,
HN,woman,black_or_of_african_descent,18 to 24,es,
CM,woman,black_or_of_african_descent,18 to 24,fr,It will be more voracious in the sense that women of all ages today are already beginning to take in hand the queens of their lives they no longer let themselves be influenced by society but influence and in ten years we can be sure to have a predominantly female hierarchy.
CM,woman,black_or_of_african_descent,35 to 44,,
ZW,woman,black_or_of_african_descent,25 to 34,en,Most probably improved
CM,woman,north_african,25 to 34,,
CM,woman,black_or_of_african_descent,25 to 34,,
NG,woman,black_or_of_african_descent,65 to 74,en,Acceptable by the Community. All inclusive governance.
ZW,woman,black_or_of_african_descent,35 to 44,en,Good 
CM,woman,black_or_of_african_descent,25 to 34,fr,Gender equality without distinction 
CM,woman,black_or_of_african_descent,18 to 24,,
NG,woman,black_or_of_african_descent,18 to 24,en,Will surely be the greatest achievement for women 
CM,woman,black_or_of_african_descent,25 to 34,,
HN,woman,hispanic_or_latinx,45 to 54,es,Best\r\n
ZW,woman,black_or_of_african_descent,25 to 34,en,"Women are taking up spaces from social platforms to the cooperate word. So l see major improvement ,our voices being heard . The future is female!"
LR,woman,black_or_of_african_descent,45 to 54,en,Women Human Rights is far behind from where are stand..
CM,woman,black_or_of_african_descent,65 to 74,,
CM,woman,choose_not_to_identify,35 to 44,,
ES,man,choose_not_to_identify,18 to 24,,
ZW,woman,black_or_of_african_descent,18 to 24,en,"Peace at work ,at home ,in the society . Womens Financial Independence not seen as intimidating to the community . Equity for Women not seen as sexual objects to be traded especially by paying brideprice."
HN,woman,hispanic_or_latinx,55 to 64,es,"Empowered women, involved in society"
ZW,woman,black_or_of_african_descent,18 to 24,,
CM,woman,black_or_of_african_descent,35 to 44,,
ZW,woman,black_or_of_african_descent,18 to 24,en,Yes
CM,woman,racial_identity_not_listed,25 to 34,,
HN,woman,choose_not_to_identify,25 to 34,,
CM,woman,black_or_of_african_descent,35 to 44,,
CM,woman,black_or_of_african_descent,25 to 34,,
ZW,woman,racial_identity_not_listed,18 to 24,,
CM,woman,black_or_of_african_descent,25 to 34,,
HN,woman,indigenous_central_or_south_american,18 to 24,,
HN,woman,hispanic_or_latinx,35 to 44,es,None
CM,woman,black_or_of_african_descent,18 to 24,,
CM,cisgender_woman+woman,black_or_of_african_descent,45 to 54,,
CM,woman,black_or_of_african_descent,25 to 34,it,"In my country it takes time, now there are many bodies that claim to defend women'`s rights, but nothing concrete.  I am pessimistic. "
NG,woman,choose_not_to_identify,55 to 64,,
NG,woman,indigenous,35 to 44,en,A woman Will rule the world
CM,woman,black_or_of_african_descent,25 to 34,fr,The woman will have more confidence in herself and will become aware of the power she holds in order to rally her entourage and have an impact in her professional environment and thus impact the world
CM,man,black_or_of_african_descent,18 to 24,,
ZW,woman,black_or_of_african_descent,18 to 24,,
HN,woman,choose_not_to_identify,25 to 34,,
CM,woman,black_or_of_african_descent,35 to 44,,
ZW,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,choose_not_to_identify,35 to 44,en,"Developing countries will still lag behind significantly,  because as long as there are issues of poverty and economic instability womens human rights will be seen as childs play. "
CM,man,black_or_of_african_descent,18 to 24,fr,"For me, it will take up progress in terms of education."
HN,gender_choose_not_to_identify,black_or_of_african_descent,25 to 34,,
ZW,woman,black_or_of_african_descent,55 to 64,en,Autonomy for women.  In marriage equal partners 
CM,gender_choose_not_to_identify,black_or_of_african_descent,35 to 44,,
ZW,woman,black_or_of_african_descent,45 to 54,en,I believe in the next 10 years there will be drastic improvements for women'`s rights due to progress in education and technology also cultural and social changes will have an impact
CM,woman,black_or_of_african_descent,45 to 54,,
CM,woman,black_or_of_african_descent+north_african,18 to 24,,
NG,woman,north_african,18 to 24,,
NG,woman,black_or_of_african_descent,35 to 44,,
NG,woman,black_or_of_african_descent,35 to 44,,
NG,woman,black_or_of_african_descent,55 to 64,en,Not encouraging at all
ZW,woman,black_or_of_african_descent,18 to 24,en,it will change for the better
CM,woman,north_african,25 to 34,,
HN,woman,hispanic_or_latinx,55 to 64,,
CM,non_conforming_or_non_binary,black_or_of_african_descent,25 to 34,,
NG,woman,black_or_of_african_descent,45 to 54,,
CM,woman,southeast_asian,18 to 24,fr,Citizens'` equality \r\nReason of expression 
CM,man,white,18 to 24,,
NG,woman,choose_not_to_identify,35 to 44,en,Powerful
ZW,woman,black_or_of_african_descent,25 to 34,en,"In 10 years time , many people will be able to understand their rights"
CM,woman,black_or_of_african_descent+north_african,35 to 44,,
NG,woman,black_or_of_african_descent,25 to 34,fr,Freedom
ZW,woman,black_or_of_african_descent,25 to 34,en,I think it will be better than today
ZW,woman,black_or_of_african_descent,25 to 34,en,Where women are treated fairly and equal in all aspects of life
CM,woman,black_or_of_african_descent,18 to 24,,
CM,woman,black_or_of_african_descent,25 to 34,en,
CM,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,black_or_of_african_descent,18 to 24,,
NG,woman,black_or_of_african_descent,18 to 24,,
CM,woman,black_or_of_african_descent,18 to 24,,
HN,woman,hispanic_or_latinx,25 to 34,,
CM,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,black_or_of_african_descent,35 to 44,en,"Financial freedom, access to health,  Abuse free world "
HN,woman,hispanic_or_latinx,35 to 44,,
CM,woman,hispanic_or_latinx,18 to 24,fr,Men will no longer have autonomy because women are taking power 
HN,woman,hispanic_or_latinx,35 to 44,,
CM,woman,black_or_of_african_descent,35 to 44,fr,I don'`t know
CM,man,black_or_of_african_descent,25 to 34,fr,Immensipation more present in state life
HN,woman,indigenous,18 to 24,,
CM,woman,choose_not_to_identify,18 to 24,,
CM,woman,black_or_of_african_descent,18 to 24,fr,Women will have the full right to express themselves in each variant society and from there they will be of immense help in the development of society and conservation of culture. 
HN,woman,white,35 to 44,,
NG,woman,black_or_of_african_descent,18 to 24,en,I believe it going to be great and it'`s going to help so many women out there
ZW,man,black_or_of_african_descent,45 to 54,,
ZW,woman,black_or_of_african_descent,25 to 34,en,There is much talk about it and i think in 10 years womM would have achieved more
CM,woman,black_or_of_african_descent,35 to 44,fr,full respect for women 
HN,woman,hispanic_or_latinx,35 to 44,es,"If we change our attitude, we can have equality and respect in all areas."
CM,woman,black_or_of_african_descent,18 to 24,en,
HN,gender_not_listed+woman,indigenous,18 to 24,es,It may get a little better
HN,woman,black_or_of_african_descent,45 to 54,es,Very low because of discrimination 
CM,woman,hispanic_or_latinx,18 to 24,fr,Improve
ZW,woman,black_or_of_african_descent,25 to 34,,
HN,woman,hispanic_or_latinx,45 to 54,en,"If we do not do something, we all believe that we will be in a critical situation, it all depends on the importance that is given to this issue."
HN,woman,hispanic_or_latinx,45 to 54,,
HN,woman,asian,25 to 34,,
HN,man,pacific_islander,35 to 44,es,Better
CM,woman,choose_not_to_identify,18 to 24,fr,We will have independent women 
HN,woman,hispanic_or_latinx,65 to 74,,
HN,woman,choose_not_to_identify,35 to 44,,
HN,woman,black_or_of_african_descent,35 to 44,es,Very good
ZW,woman,black_or_of_african_descent,35 to 44,en,Educating thegirl child so as to encourage idipendence to avoidgender based vilence in Developing nions such s Zimbwe and the world over. 
CM,woman,black_or_of_african_descent,45 to 54,,
CM,gender_not_listed+woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,18 to 24,fr,To a life of peace sense violence nor bad things a beautiful and adorable life sense problem in society and the real life of the woman
CM,woman,black_or_of_african_descent,25 to 34,vi,
HN,woman,choose_not_to_identify,45 to 54,,
CM,woman,black_or_of_african_descent,45 to 54,fr,They will make great strides if cultural and religious barriers are broken
CM,woman,black_or_of_african_descent,25 to 34,fr,Stability
ZW,woman,racial_identity_not_listed,35 to 44,en,Looks bright 
CM,woman,black_or_of_african_descent,25 to 34,fr,"In view of the past years, I whatever the woman reoccupies her place little by little. In 10 years, she will be able to enjoy her rights in a more excellent way, but it will not be total. Society has not been totally purged of its distorted view of women."
HN,woman,biracial_or_mixed,25 to 34,es,Equal
ZW,woman,black_or_of_african_descent,18 to 24,en,Woman will be empowered and will rule the world
CM,woman,choose_not_to_identify,25 to 34,,
CM,woman,black_or_of_african_descent,35 to 44,,
ZW,woman,black_or_of_african_descent,35 to 44,,
NG,woman,black_or_of_african_descent,18 to 24,,
NG,woman,black_or_of_african_descent,35 to 44,,
NG,woman,black_or_of_african_descent,35 to 44,,
CM,woman,black_or_of_african_descent,18 to 24,en,
ZW,woman,black_or_of_african_descent,45 to 54,en,they is no progress in women'`s rights because in evry month 1or 2 women are killed in abusive relationships\r\nmost women are trying to make ends meet because their husband'`s left them\r\npaying fees for the children \r\nputing food on the table\r\nclothing\r\nmedicatio\r\nbills \r\njust to mention but a few\r\n\r\nthey is need to reach out there  to the community to highlight that womens are not tools they have rights equally as man we are protected by the Zimbabwean Constitution  sectin 17\r\nsection 56\r\nsection 80\r\n\r\nthey is need for ratification of gender progressive International and regional treaties and protocols such as\r\nCEDAW 1979\r\nBeijin Declaration 1995\r\nSADC protocol on Gender and Development 2008\r\nuniversal declaration of human rights 1948
AO,woman,black_or_of_african_descent,35 to 44,,
ZW,woman,black_or_of_african_descent,25 to 34,en,I think they will be a great improvement because I can see progress already
ZW,woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,18 to 24,fr,In 10 years the project of women'`s human rights would not have really changed in Africa because the problem of mentality and culture (African tradition) remains a great obstacle 
CM,gender_choose_not_to_identify,choose_not_to_identify,18 to 24,,
CM,gender_choose_not_to_identify,black_or_of_african_descent,35 to 44,fr,
ZW,woman,black_or_of_african_descent,35 to 44,,
CM,woman,black_or_of_african_descent,18 to 24,,
CM,woman,biracial_or_mixed,18 to 24,,
CM,woman,black_or_of_african_descent,25 to 34,fr,When women can be judged by their skills and not by their gender
CM,woman,black_or_of_african_descent,18 to 24,fr,I have no idea 
ZW,woman,white,65 to 74,en,Hopeful
ZW,woman,black_or_of_african_descent,25 to 34,en,"In my region, a bit above what is currently on the ground but not much change will have happened in 10 years. Just recently the quota system which guarantees a 30% of female represantation was extended to local government while in other countries this was already a given. Zimbabwe is taking baby steps towards progressing in human rights so in 10 years it will just be a little different from now."
CM,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,black_or_of_african_descent,18 to 24,,
CM,woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,25 to 34,,
ZW,woman,choose_not_to_identify,25 to 34,,
CM,woman,black_or_of_african_descent,25 to 34,,
CM,gender_choose_not_to_identify,black_or_of_african_descent,25 to 34,,
CM,gender_not_listed+man,black_or_of_african_descent,18 to 24,fr,It will resemble a social balance and close human collaboration
CM,woman,choose_not_to_identify,18 to 24,,
ZW,woman,black_or_of_african_descent,35 to 44,en,Well improved
ZW,woman,indigenous,25 to 34,,
ZW,woman,black_or_of_african_descent,45 to 54,en,
UG,gender_choose_not_to_identify,black_or_of_african_descent,25 to 34,en,Women are human too.. they shd be treated right and allowed to choose the life they want to lead
CM,woman,black_or_of_african_descent,18 to 24,,
BW,woman,black_or_of_african_descent,18 to 24,en,I honestly see a drawback because covid 19 has negatively impacted a lot of African women and their rights are continually discriminated against simply because they find themselves in desperate situations 
CM,woman,black_or_of_african_descent,18 to 24,fr,"In 10 years women will still not have managed to be considered at their true value. There are certainly big improvements, but this being the women themselves get lost in what they really want. "
BW,man,black_or_of_african_descent,35 to 44,,
UG,woman,black_or_of_african_descent,35 to 44,en,"When women are  not sidelined whenever they try to improve or achieve anything socially, politically or economically"
CM,woman,black_or_of_african_descent,18 to 24,fr,A real success 
NG,woman,black_or_of_african_descent,35 to 44,en,It will lead to the increase in peace and successful development which will creat liberation for all women world wide. 
ZW,woman,black_or_of_african_descent,35 to 44,,
